Station,MAP
SAT,522.0482759
BDL,625.3411765
BYA,580.2882353
HOU,440.4615385
KFI,527.9758621
KRO,598.3631034
LET,439.762963
MAH,425.4863636
MAL,586.137931
MOO,469.037931
MOP,505.24
NWA,518.9482759
OLI,500.9068966
OSA,585.5034483
PAF,414.1833333
PAP,435.2896552
PHA,465.7115385
PRE,703.892
PUN,529.662963
SHA,516.2772727
SHI,449.2074074
SHM,452.95
SIR,540.25
SKZ,631.8689655
STO,661.5538462
TAL,560.9235294
TSH,556.4896552
VLA,507.032
WOO,505.2208333
