"Year","Month","Month_number","Sum_Rainfall"
2008,"Sep",9,0.0
2008,"Oct",10,76.0
2008,"Nov",11,134.0
2008,"Dec",12,219.0
2009,"Jan",1,226.0
2009,"Feb",2,156.0
2009,"Mar",3,103.0
2009,"Apr",4,31.0
2009,"May",5,30.0
2009,"Jun",6,12.0
2009,"Jul",7,0.0
2009,"Aug",8,0.0
2009,"Sep",9,5.0
2009,"Oct",10,15.0
2009,"Nov",11,155.0
2009,"Dec",12,83.0
2010,"Jan",1,89.0
2010,"Feb",2,65.0
2010,"Mar",3,70.0
2010,"Apr",4,252.0
2010,"May",5,8.0
2010,"Jun",6,8.0
2010,"Jul",7,11.0
2010,"Aug",8,0.0
2010,"Sep",9,0.0
2010,"Oct",10,22.0
2010,"Nov",11,108.0
2010,"Dec",12,134.0
2011,"Jan",1,261.0
2011,"Feb",2,13.0
2011,"Mar",3,103.0
2011,"Apr",4,38.0
2011,"May",5,40.0
2011,"Jun",6,2.0
2011,"Jul",7,0.0
2011,"Aug",8,7.0
2011,"Sep",9,1.0
2011,"Oct",10,73.0
2011,"Nov",11,52.0
2011,"Dec",12,116.0
2012,"Jan",1,401.0
2012,"Feb",2,0.0
2012,"Mar",3,37.0
2012,"Apr",4,19.0
2012,"May",5,0.0
2012,"Jun",6,0.0
2012,"Jul",7,0.0
2012,"Aug",8,0.0
2012,"Sep",9,61.0
2012,"Oct",10,62.0
2012,"Nov",11,71.0
2012,"Dec",12,31.0
2013,"Jan",1,20.0
2013,"Feb",2,70.0
2013,"Mar",3,30.0
2013,"Apr",4,96.0
2013,"May",5,8.0
2013,"Jun",6,0.0
2013,"Jul",7,4.0
2013,"Aug",8,15.0
2013,"Sep",9,8.0
2013,"Oct",10,78.0
2013,"Nov",11,68.0
2013,"Dec",12,231.0
2014,"Jan",1,128.0
2014,"Feb",2,78.5
2014,"Mar",3,266.5
2014,"Apr",4,24.0
2014,"Oct",10,58.0
2014,"Nov",11,39.0
2014,"Dec",12,21.0
